Part number,Layer thickness(mm),Infill density (%),Infill pattern ,Torsional stiffness (N.m/Deg)
KSD10-KW4-KD1.8,0.2,20,cube,0.1236
KSD10-KW4-KD1.8,0.2,40,cube,0.1546
KSD10-KW4-KD1.8,0.2,60,cube,0.1835
KSD10-KW4-KD1.8,0.2,80,cube,0.2104
KSD10-KW4-KD1.8,0.2,100,cube,0.2344
KSD10-KW4-KD1.8,0.2,20,grid,0.1324
KSD10-KW4-KD1.8,0.2,40,grid,0.1695
KSD10-KW4-KD1.8,0.2,60,grid,0.1999
KSD10-KW4-KD1.8,0.2,80,grid,0.2322
KSD10-KW4-KD1.8,0.2,100,grid,0.2554
KSD10-KW4-KD1.8,0.2,20,hex,0.1198
KSD10-KW4-KD1.8,0.2,40,hex,0.1494
KSD10-KW4-KD1.8,0.2,60,hex,0.1767
KSD10-KW4-KD1.8,0.2,80,hex,0.1962
KSD10-KW4-KD1.8,0.2,100,hex,0.2228
KSD10-KW4-KD1.8,0.2,20,line,0.134
KSD10-KW4-KD1.8,0.2,40,line,0.1717
KSD10-KW4-KD1.8,0.2,60,line,0.2152
KSD10-KW4-KD1.8,0.2,80,line,0.2498
KSD10-KW4-KD1.8,0.2,20,tri,0.1202
KSD10-KW4-KD1.8,0.2,40,tri,0.1508
KSD10-KW4-KD1.8,0.2,60,tri,0.1813
KSD10-KW4-KD1.8,0.2,80,tri,0.2129
KSD10-KW4-KD1.8,0.2,100,tri,0.2437
KSD10-KW4-KD1.8,0.3,10,cube,0.1322
KSD10-KW4-KD1.8,0.3,30,cube,0.1609
KSD10-KW4-KD1.8,0.3,50,cube,0.1862
KSD10-KW4-KD1.8,0.3,70,cube,0.2104
KSD10-KW4-KD1.8,0.3,90,cube,0.2324
KSD10-KW4-KD1.8,0.3,10,grid,0.0661
KSD10-KW4-KD1.8,0.3,30,grid,0.1217
KSD10-KW4-KD1.8,0.3,50,grid,0.1558
KSD10-KW4-KD1.8,0.3,70,grid,0.1836
KSD10-KW4-KD1.8,0.3,90,grid,0.2099
KSD10-KW4-KD1.8,0.3,10,hex,0.0586
KSD10-KW4-KD1.8,0.3,30,hex,0.1002
KSD10-KW4-KD1.8,0.3,50,hex,0.1314
KSD10-KW4-KD1.8,0.3,70,hex,0.1565
KSD10-KW4-KD1.8,0.3,90,hex,0.1768
KSD10-KW4-KD1.8,0.3,10,line,0.0729
KSD10-KW4-KD1.8,0.3,30,line,0.1238
KSD10-KW4-KD1.8,0.3,50,line,0.1661
KSD10-KW4-KD1.8,0.3,70,line,0.1954
KSD10-KW4-KD1.8,0.3,90,line,0.2234
KSD10-KW4-KD1.8,0.3,10,tri,0.0572
KSD10-KW4-KD1.8,0.3,30,tri,0.1008
KSD10-KW4-KD1.8,0.3,50,tri,0.1349
KSD10-KW4-KD1.8,0.3,70,tri,0.1666
KSD10-KW4-KD1.8,0.3,90,tri,0.1963
KSD12-KW5-KD2.3,0.2,20,cube,0.243
KSD12-KW5-KD2.3,0.2,40,cube,0.29
KSD12-KW5-KD2.3,0.2,60,cube,0.364
KSD12-KW5-KD2.3,0.2,80,cube,0.4131
KSD12-KW5-KD2.3,0.2,100,cube,0.4749
KSD12-KW5-KD2.3,0.2,20,grid,0.2605
KSD12-KW5-KD2.3,0.2,40,grid,0.3325
KSD12-KW5-KD2.3,0.2,60,grid,0.3994
KSD12-KW5-KD2.3,0.2,80,grid,0.4669
KSD12-KW5-KD2.3,0.2,100,grid,0.5249
KSD12-KW5-KD2.3,0.2,20,hex,0.235
KSD12-KW5-KD2.3,0.2,40,hex,0.2913
KSD12-KW5-KD2.3,0.2,60,hex,0.3501
KSD12-KW5-KD2.3,0.2,80,hex,0.3907
KSD12-KW5-KD2.3,0.2,100,hex,0.4505
KSD12-KW5-KD2.3,0.2,20,line,0.2573
KSD12-KW5-KD2.3,0.2,40,line,0.333
KSD12-KW5-KD2.3,0.2,60,line,0.4288
KSD12-KW5-KD2.3,0.2,80,line,0.5084
KSD12-KW5-KD2.3,0.2,20,tri,0.235
KSD12-KW5-KD2.3,0.2,40,tri,0.2937
KSD12-KW5-KD2.3,0.2,60,tri,0.3602
KSD12-KW5-KD2.3,0.2,80,tri,0.4284
KSD12-KW5-KD2.3,0.2,100,tri,0.4962
KSD12-KW5-KD2.3,0.3,10,cube,0.2517
KSD12-KW5-KD2.3,0.3,30,cube,0.3052
KSD12-KW5-KD2.3,0.3,50,cube,0.3592
KSD12-KW5-KD2.3,0.3,70,cube,0.412
KSD12-KW5-KD2.3,0.3,90,cube,0.4609
KSD12-KW5-KD2.3,0.3,10,grid,0.1575
KSD12-KW5-KD2.3,0.3,30,grid,0.2555
KSD12-KW5-KD2.3,0.3,50,grid,0.3261
KSD12-KW5-KD2.3,0.3,70,grid,0.3851
KSD12-KW5-KD2.3,0.3,90,grid,0.4431
KSD12-KW5-KD2.3,0.3,10,hex,0.1404
KSD12-KW5-KD2.3,0.3,30,hex,0.2179
KSD12-KW5-KD2.3,0.3,50,hex,0.2787
KSD12-KW5-KD2.3,0.3,70,hex,0.3297
KSD12-KW5-KD2.3,0.3,10,line,0.1654
KSD12-KW5-KD2.3,0.3,30,line,0.2595
KSD12-KW5-KD2.3,0.3,50,line,0.3528
KSD12-KW5-KD2.3,0.3,70,line,0.4117
KSD12-KW5-KD2.3,0.3,10,tri,0.1371
KSD12-KW5-KD2.3,0.3,30,tri,0.218
KSD12-KW5-KD2.3,0.3,50,tri,0.2855
KSD12-KW5-KD2.3,0.3,70,tri,0.3503
KSD12-KW5-KD2.3,0.3,90,tri,0.414
